Country Code,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CSS,EG.USE.ELEC.KH.PC,2770.441912,2810.821028,2865.722087,3093.101001,3066.88325,3222.692979,3253.871219,3088.80393,2666.773601,2705.246458,2831.138193,2918.491922,2883.979469,2973.708709,3062.984684,,,,,,,
CSS,EG.IMP.CONS.ZS,-42.58879495,-35.28385464,-51.08248196,-77.5753856,-81.46438356,-76.06992091,-83.66338834,-78.25199911,-86.60072399,-92.06378204,-87.32408776,-79.82984398,-81.13187716,-78.53042032,-78.41080392,,,,,,,
CSS,GC.XPN.TOTL.GD.ZS,,21.64319255,22.82622154,22.57880786,22.44421071,21.98108116,25.16488835,23.10382323,24.97301632,29.66792189,27.17606155,25.61250441,26.79969987,26.53039063,27.50892523,28.8746929,29.02936906,28.48064762,27.1536502,,,
CSS,IT.NET.BBND.P2,,,0.416715323,0.98727432,1.54518001,2.058902961,3.097216384,3.709065175,4.845312778,6.269078177,6.785085655,7.095663185,8.868661728,9.467736971,10.50218291,12.42187297,13.36914381,14.00207656,15.53288896,15.56771635,18.01027641,
CSS,IT.MLT.MAIN.P2,21.73954496,22.25516894,21.19890113,21.58537453,21.08658968,19.26411861,19.64005366,19.8337195,19.19298186,18.72168055,17.88847196,17.91228283,17.49723018,17.44679005,16.8951251,16.76577758,16.9528052,16.08421913,17.44422007,17.86297719,17.94981115,
CSS,NY.GDP.MKTP.KD.ZG,3.731286491,2.036249358,3.596419974,5.610130427,3.950474208,3.631001053,6.821769925,3.320649909,1.303951767,-3.533075882,1.355267629,1.124844113,1.381311082,0.758910534,0.680592725,1.095236803,-1.643942932,0.432461596,1.438189433,1.102416497,-9.347633228,5.154339152
CSS,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,
CSS,SE.XPD.TOTL.GD.ZS,3.869560003,4.223160028,4.459119916,3.696724892,3.912549973,4.616419792,,5.49022007,6.191319942,6.198480129,6.370600224,5.281330109,5.331145048,5.6849401,5.673900127,4.421209216,4.63426137,4.417833447,4.358923793,4.430865765,4.860617638,6.027470112
CSS,TX.VAL.TECH.MF.ZS,,,,,,,,,,,4.447552327,4.027106258,1.105524026,1.474778413,1.869838296,0.41244164,2.578575507,5.473445097,4.554757569,4.314280436,,
CSS,FP.CPI.TOTL.ZG,2.308815608,2.602624023,2.107334476,2.195182371,2.354332221,3.815851436,5.464555562,4.257557957,8.067647673,1.239738108,3.403267231,4.217242655,2.987662292,1.287775325,1.301599002,-0.679637508,0.488912144,1.892520278,1.282842884,1.431355982,0.038521098,2.236849754
CSS,FR.INR.LNDP,7.806270454,7.163240337,7.208253389,7.84206713,6.5225,6.906666667,6.808613264,6.630097242,5.861970651,6.581791224,6.312247137,6.469166667,6.442265186,6.189166667,6.19751426,6.735833333,7.2225,6.8875,6.781153333,6.54737675,6.16923325,5.87397725
